symbol,datetime,open,high,low,close

AMC,2022-01-03 05:00:00,27.415,28.13,26.42,26.52
AMC,2022-01-04 05:00:00,26.67,26.67,24.64,25.49
AMC,2022-01-05 05:00:00,25.17,25.3,22.3618,22.72

AMC,2022-01-06 05:00:00,22.96,23.77,20.8,3333333333333332.46

AMC,2022-01-07 05:00:00,23.61,24.3,22.44,22.99
AMC,2022-01-10 05:00:00,22.42,22.8703,21.25,22.78
AMC,2022-01-11 05:00:00,22.4,23.75,22.09,22.79
AMC,2022-01-12 05:00:00,22.86,23.3598,22.05,22.72
AMC,2022-01-13 05:00:00,22.65,23.15,20.525,20.66
AMC,2022-01-14 05:00:00,20.33,21.08,19.51,20.57
AMC,2022-01-18 05:00:00,19.79,19.8879,17.8,18.84
AMC,2022-01-19 05:00:00,18.53,19.42,18.03,18.32
AMC,2022-01-20 05:00:00,18.59,20.16,17.95,18.07
AMC,2022-01-21 05:00:00,17.77,18.56,16.22,17.97
AMC,2022-01-24 05:00:00,16.24,17.29,14.23,16.64
AMC,2022-01-25 05:00:00,15.89,16.62,15.55,16.02
AMC,2022-01-26 05:00:00,16.21,18.155,15.65,15.94
AMC,2022-01-27 05:00:00,16.11,16.59,14.395,14.52
AMC,2022-01-28 05:00:00,14.6,15.25,13.4,15.06
AMC,2022-01-31 05:00:00,15.14,16.25,15.0,16.06
AMC,2022-02-01 05:00:00,18.15,18.71,16.52,16.86
AMC,2022-02-02 05:00:00,16.55,17.065,15.38,15.42
AMC,2022-02-03 05:00:00,15.04,15.85,14.65,14.87
AMC,2022-02-04 05:00:00,15.0,15.7,14.74,15.35
AMC,2022-02-07 05:00:00,15.62,16.0,14.68,14.91
AMC,2022-02-08 05:00:00,14.9,16.82,14.65,16.43
AMC,2022-02-09 05:00:00,16.3,19.0,16.14,18.94
AMC,2022-02-10 05:00:00,17.9,20.96,17.85,18.59
AMC,2022-02-11 05:00:00,18.62,19.66,18.331,18.81
AMC,2022-02-14 05:00:00,18.83,19.36,17.66,17.75
AMC,2022-02-15 05:00:00,18.05,19.55,17.96,19.48
AMC,2022-02-16 05:00:00,19.35,20.58,19.26,19.67
AMC,2022-02-17 05:00:00,19.48,20.21,18.47,18.94
AMC,2022-02-18 05:00:00,18.99,19.2,17.685,17.9
AMC,2022-02-22 05:00:00,17.36,18.13,16.11,16.47
AMC,2022-02-23 05:00:00,16.73,17.02,15.62,15.73
AMC,2022-02-24 05:00:00,14.97,17.77,14.96,17.68
AMC,2022-02-25 05:00:00,17.71,17.86,16.53,17.66
AMC,2022-02-28 05:00:00,17.995,19.34,17.61,18.86
AMC,2022-03-01 05:00:00,19.0,19.43,17.83,18.32
AMC,2022-03-02 05:00:00,18.01,18.6901,17.31,18.53
AMC,2022-03-03 05:00:00,18.63,18.7,17.7975,18.06
AMC,2022-03-04 05:00:00,18.05,18.32,16.35,16.57
AMC,2022-03-07 05:00:00,16.91,17.1,14.8995,15.21
AMC,2022-03-08 05:00:00,15.15,16.26,14.3801,15.39
AMC,2022-03-09 05:00:00,15.72,16.27,15.425,15.71
AMC,2022-03-10 05:00:00,15.63,15.81,14.78,15.32
AMC,2022-03-11 05:00:00,15.31,15.4,14.265,14.3
AMC,2022-03-14 04:00:00,14.05,14.155,12.9,13.56
AMC,2022-03-15 04:00:00,13.76,14.6917,13.17,14.48
AMC,2022-03-16 04:00:00,14.51,15.69,14.23,15.23
AMC,2022-03-17 04:00:00,14.91,15.61,14.86,15.19
AMC,2022-03-18 04:00:00,14.98,15.9,14.97,15.8
AMC,2022-03-21 04:00:00,15.69,16.55,15.275,15.86
AMC,2022-03-22 04:00:00,15.88,18.91,15.751,18.26
AMC,2022-03-23 04:00:00,18.75,22.35,18.18,20.74
AMC,2022-03-24 04:00:00,20.05,20.57,18.86,20.23
AMC,2022-03-25 04:00:00,19.95,21.7,19.71,20.24
AMC,2022-03-28 04:00:00,20.61,29.73,20.53,29.33
AMC,2022-03-29 04:00:00,30.03,34.33,26.41,29.44
AMC,2022-03-30 04:00:00,28.56,29.226,25.35,25.68
AMC,2022-03-31 04:00:00,24.77,25.92,23.26,24.64
AMC,2022-04-01 04:00:00,25.13,25.28,22.34,23.3
AMC,2022-04-04 04:00:00,23.48,23.75,21.94,23.31
AMC,2022-04-05 04:00:00,23.18,23.96,21.0,21.21
AMC,2022-04-06 04:00:00,20.65,21.9188,20.0103,20.39
AMC,2022-04-07 04:00:00,20.63,20.94,18.625,19.73
AMC,2022-04-08 04:00:00,19.7,19.7,18.13,18.24
AMC,2022-04-11 04:00:00,18.03,18.815,17.72,18.72
AMC,2022-04-12 04:00:00,18.88,19.01,17.2,17.42
AMC,2022-04-13 04:00:00,17.55,18.58,16.94,18.53
AMC,2022-04-14 04:00:00,18.27,18.6883,17.9,18.02
AMC,2022-04-18 04:00:00,18.1,18.19,16.965,17.48
AMC,2022-04-19 04:00:00,17.38,18.915,17.1,18.68
AMC,2022-04-20 04:00:00,18.4,18.66,17.3,17.34
AMC,2022-04-21 04:00:00,17.41,18.07,16.66,16.85
AMC,2022-04-22 04:00:00,17.12,17.61,16.1,16.52
AMC,2022-04-25 04:00:00,16.39,17.03,16.285,16.96
AMC,2022-04-26 04:00:00,16.89,17.09,15.49,15.5
AMC,2022-04-27 04:00:00,15.39,16.25,15.25,15.85
AMC,2022-04-28 04:00:00,15.71,16.125,14.7,15.64
AMC,2022-04-29 04:00:00,15.63,16.05,15.22,15.3
AMC,2022-05-02 04:00:00,15.1,15.49,14.61,15.26
AMC,2022-05-03 04:00:00,15.16,16.115,14.7298,15.51
AMC,2022-05-04 04:00:00,15.22,15.91,14.68,15.72
AMC,2022-05-05 04:00:00,15.68,15.79,14.36,14.69
AMC,2022-05-06 04:00:00,14.655,14.84,13.5201,13.76
AMC,2022-05-09 04:00:00,13.63,13.63,12.43,12.52
AMC,2022-05-10 04:00:00,13.15,14.01,11.5,11.84
AMC,2022-05-11 04:00:00,11.56,11.65,9.915,10.37
AMC,2022-05-12 04:00:00,10.045,13.71,9.7,11.2
AMC,2022-05-13 04:00:00,12.11,12.49,11.49,11.81
AMC,2022-05-16 04:00:00,11.9,12.66,11.5,11.71
AMC,2022-05-17 04:00:00,12.06,12.92,11.84,12.9
AMC,2022-05-18 04:00:00,12.73,14.22,12.51,12.76
AMC,2022-05-19 04:00:00,12.77,13.5,12.66,13.08
AMC,2022-05-20 04:00:00,13.18,13.35,11.43,12.03
AMC,2022-05-23 04:00:00,12.01,12.02,11.45,11.58
AMC,2022-05-24 04:00:00,11.33,11.39,10.3,10.39
AMC,2022-05-25 04:00:00,10.48,11.88,10.4,11.88
AMC,2022-05-26 04:00:00,11.75,12.88,11.59,12.23
AMC,2022-05-27 04:00:00,12.65,14.47,12.4,14.43
AMC,2022-05-31 04:00:00,15.75,16.13,13.93,14.34
AMC,2022-06-01 04:00:00,14.01,14.3165,12.8,12.81
AMC,2022-06-02 04:00:00,12.69,13.54,12.3,13.3
AMC,2022-06-03 04:00:00,12.78,13.06,12.1801,12.45
AMC,2022-06-06 04:00:00,12.42,12.58,11.77,11.95
AMC,2022-06-07 04:00:00,12.02,13.25,11.81,13.07
AMC,2022-06-08 04:00:00,12.8,14.25,12.71,13.52
AMC,2022-06-09 04:00:00,13.37,13.53,12.565,12.78
AMC,2022-06-10 04:00:00,12.63,12.73,12.07,12.43
AMC,2022-06-13 04:00:00,11.91,12.2,11.09,11.48
AMC,2022-06-14 04:00:00,11.52,12.05,11.11,11.92
AMC,2022-06-15 04:00:00,11.55,12.97,11.54,12.77
AMC,2022-06-16 04:00:00,12.22,12.5,11.43,11.79
AMC,2022-06-17 04:00:00,11.86,12.71,11.86,12.53
AMC,2022-06-21 04:00:00,12.75,12.93,12.22,12.5
AMC,2022-06-22 04:00:00,12.5,13.22,12.37,12.6
AMC,2022-06-23 04:00:00,12.79,12.81,11.44,12.05
AMC,2022-06-24 04:00:00,12.17,12.57,11.93,12.47
AMC,2022-06-27 04:00:00,12.58,14.75,12.305,14.13
AMC,2022-06-28 04:00:00,14.0,14.3,13.31,13.38
AMC,2022-06-29 04:00:00,13.07,13.89,12.8,13.65
AMC,2022-06-30 04:00:00,13.4,13.85,12.91,13.55
AMC,2022-07-01 04:00:00,13.48,14.31,13.26,13.53
AMC,2022-07-05 04:00:00,13.55,13.58,12.56,12.78
AMC,2022-07-06 04:00:00,12.68,13.04,12.16,12.57
AMC,2022-07-07 04:00:00,12.54,14.685,12.41,14.48
AMC,2022-07-08 04:00:00,13.89,15.32,13.84,14.66
AMC,2022-07-11 04:00:00,14.49,14.99,14.07,14.95
AMC,2022-07-12 04:00:00,14.95,16.14,14.81,15.6
AMC,2022-07-13 04:00:00,15.05,15.93,14.9,15.14
AMC,2022-07-14 04:00:00,14.95,15.6769,14.73,15.06
AMC,2022-07-15 04:00:00,15.27,15.39,14.71,15.37
AMC,2022-07-18 04:00:00,15.6,16.96,15.53,16.54
AMC,2022-07-19 04:00:00,17.41,17.82,16.25,16.36
AMC,2022-07-20 04:00:00,16.52,17.7279,16.33,17.52
AMC,2022-07-21 04:00:00,17.9,18.37,16.95,17.0
AMC,2022-07-22 04:00:00,16.7,16.8816,15.28,15.5
