symbol,datetime,open,high,low,close
comsat,2022-01-03 05:00:00,49.98,50.95,49.71,50.74
comsat,2022-01-04 05:00:00,50.71,51.02,49.92,50.19
comsat,2022-01-05 05:00:00,50.5734,51.2,50.15,50.22
comsat,2022-01-06 05:00:00,50.43,50.98,50.185,50.51
comsat,2022-01-07 05:00:00,50.35,50.59,49.97,50.05
comsat,2022-01-10 05:00:00,50.3682,50.92,49.865,50.52
comsat,2022-01-11 05:00:00,50.58,51.18,50.36,51.14
comsat,2022-01-12 05:00:00,51.43,51.69,50.82,50.95
comsat,2022-01-13 05:00:00,50.8,51.68,50.12,51.28
comsat,2022-01-14 05:00:00,51.47,52.1,51.14,51.68
comsat,2022-01-18 05:00:00,51.07,51.39,50.06,50.18
comsat,2022-01-19 05:00:00,50.21,50.78,49.505,50.33
comsat,2022-01-20 05:00:00,50.51,51.615,50.15,50.22
comsat,2022-01-21 05:00:00,50.38,50.945,49.65,49.73
comsat,2022-01-24 05:00:00,50.56,51.2,48.78,50.07
comsat,2022-01-25 05:00:00,49.26,50.037,48.815,49.67
comsat,2022-01-26 05:00:00,49.52,50.35,47.87,48.46
comsat,2022-01-27 05:00:00,45.4735,50.07,45.47,48.01
comsat,2022-01-28 05:00:00,47.8837,49.89,47.73,49.72
comsat,2022-01-31 05:00:00,49.29,50.1,49.03,49.99
comsat,2022-02-01 05:00:00,49.15,50.01,48.89,49.94
comsat,2022-02-02 05:00:00,49.94,50.25,49.36,49.99
comsat,2022-02-03 05:00:00,50.435,50.98,49.59,49.64
comsat,2022-02-04 05:00:00,49.16,49.68,48.72,49.33
comsat,2022-02-07 05:00:00,49.45,49.53,48.71,48.86
comsat,2022-02-08 05:00:00,49.08,49.54,48.8251,49.21
comsat,2022-02-09 05:00:00,49.5,49.79,49.245,49.77
comsat,2022-02-10 05:00:00,48.95,49.61,48.75,48.92
comsat,2022-02-11 05:00:00,48.74,49.33,47.495,47.62
comsat,2022-02-14 05:00:00,48.1,48.39,47.07,47.4
comsat,2022-02-15 05:00:00,47.71,48.315,47.69,48.05
comsat,2022-02-16 05:00:00,47.92,48.255,47.65,48.09
comsat,2022-02-17 05:00:00,47.64,47.66,46.67,46.77
comsat,2022-02-18 05:00:00,46.78,47.15,46.43,46.64
comsat,2022-02-22 05:00:00,47.0,47.47,46.615,46.94
