symbol,datetime,open,high,low,close
disney,2022-01-03 05:00:00,155.83,157.56,155.36,156.76
disney,2022-01-04 05:00:00,158.59,160.32,155.55,155.73
disney,2022-01-05 05:00:00,156.52,159.38,155.1,155.19
disney,2022-01-06 05:00:00,156.24,157.77,153.6791,156.9
disney,2022-01-07 05:00:00,156.9,159.3,156.29,157.83
disney,2022-01-10 05:00:00,157.98,158.27,154.65,156.6
disney,2022-01-11 05:00:00,156.62,158.22,155.9455,157.89
disney,2022-01-12 05:00:00,158.5,158.99,156.33,157.8
disney,2022-01-13 05:00:00,157.7,158.53,155.17,155.44
disney,2022-01-14 05:00:00,152.35,152.62,148.415,151.94
disney,2022-01-18 05:00:00,151.11,153.13,149.83,152.27
disney,2022-01-19 05:00:00,150.84,152.86,149.955,150.11
disney,2022-01-20 05:00:00,150.905,152.66,147.15,147.62
disney,2022-01-21 05:00:00,141.23,141.87,136.6319,137.38
disney,2022-01-24 05:00:00,134.82,137.68,129.26,137.46
disney,2022-01-25 05:00:00,135.29,137.75,132.38,136.51
disney,2022-01-26 05:00:00,137.707,138.2,132.26,133.6
disney,2022-01-27 05:00:00,135.07,137.91,134.02,135.42
disney,2022-01-28 05:00:00,135.21,138.69,133.56,138.63
disney,2022-01-31 05:00:00,138.86,143.15,138.47,142.97
disney,2022-02-01 05:00:00,143.02,144.69,142.25,144.49
disney,2022-02-02 05:00:00,144.19,144.59,141.38,142.62
disney,2022-02-03 05:00:00,140.0,142.04,139.25,140.03
disney,2022-02-04 05:00:00,140.04,143.19,139.53,142.02
disney,2022-02-07 05:00:00,143.39,144.09,141.61,142.51
disney,2022-02-08 05:00:00,141.79,142.8879,140.74,142.48
disney,2022-02-09 05:00:00,144.37,147.355,143.25,147.23
disney,2022-02-10 05:00:00,156.02,157.5,151.11,152.16
disney,2022-02-11 05:00:00,153.54,154.69,148.56,149.47
disney,2022-02-14 05:00:00,149.37,153.73,149.21,150.85
disney,2022-02-15 05:00:00,153.54,154.85,152.51,154.72
disney,2022-02-16 05:00:00,154.98,156.73,153.75,156.35
disney,2022-02-17 05:00:00,154.69,155.3612,152.61,152.95
disney,2022-02-18 05:00:00,152.91,153.6755,150.05,151.36
disney,2022-02-22 05:00:00,150.19,150.79,147.61,148.09
disney,2022-02-23 05:00:00,149.5,149.74,145.5,145.87
disney,2022-02-24 05:00:00,140.0,149.57,140.0,149.4
disney,2022-02-25 05:00:00,149.56,150.28,147.22,149.53
disney,2022-02-28 05:00:00,147.83,149.48,146.46,148.46
disney,2022-03-01 05:00:00,147.86,148.146,143.779,145.7
disney,2022-03-02 05:00:00,146.31,148.465,145.92,147.34
disney,2022-03-03 05:00:00,147.31,148.65,144.45,145.57
disney,2022-03-04 05:00:00,144.01,144.26,139.55,140.72
disney,2022-03-07 05:00:00,140.28,140.89,133.44,133.5
disney,2022-03-08 05:00:00,133.02,135.485,129.29,131.75
disney,2022-03-09 05:00:00,135.49,135.5,133.36,133.65
disney,2022-03-10 05:00:00,132.36,134.2,131.62,133.64
disney,2022-03-11 05:00:00,135.08,136.16,131.57,131.75
disney,2022-03-14 04:00:00,130.98,133.07,128.38,129.03
disney,2022-03-15 04:00:00,129.74,134.56,129.51,134.2
disney,2022-03-16 04:00:00,135.65,138.98,134.94,138.14
disney,2022-03-17 04:00:00,137.44,139.47,136.56,139.47
disney,2022-03-18 04:00:00,139.55,140.725,138.3,140.3
disney,2022-03-21 04:00:00,138.9,139.3,136.88,138.62
disney,2022-03-22 04:00:00,139.06,142.19,138.9,140.11
disney,2022-03-23 04:00:00,139.07,139.76,137.54,137.64
disney,2022-03-24 04:00:00,138.58,139.2699,137.41,138.96
disney,2022-03-25 04:00:00,139.28,140.38,138.12,139.14
disney,2022-03-28 04:00:00,138.88,139.6274,136.2816,138.72
disney,2022-03-29 04:00:00,140.96,144.46,140.96,142.38
disney,2022-03-30 04:00:00,141.31,143.2675,140.08,140.96
disney,2022-03-31 04:00:00,140.14,140.88,137.11,137.16
disney,2022-04-01 04:00:00,137.34,138.1,135.53,137.0
disney,2022-04-04 04:00:00,136.97,139.261,136.89,138.58
disney,2022-04-05 04:00:00,137.74,139.2,135.13,135.62
disney,2022-04-06 04:00:00,133.75,133.93,130.81,132.57
disney,2022-04-07 04:00:00,133.01,133.21,130.02,131.87
disney,2022-04-08 04:00:00,132.0,133.12,130.63,131.87
disney,2022-04-11 04:00:00,130.04,132.43,130.04,130.65
disney,2022-04-12 04:00:00,131.81,133.21,130.1528,130.84
disney,2022-04-13 04:00:00,131.05,132.89,130.75,132.35
disney,2022-04-14 04:00:00,132.81,133.59,130.35,130.47
disney,2022-04-18 04:00:00,130.07,130.22,126.82,127.77
disney,2022-04-19 04:00:00,128.09,133.19,127.79,131.9
disney,2022-04-20 04:00:00,126.05,127.35,124.1104,124.57
disney,2022-04-21 04:00:00,125.54,126.45,121.28,121.66
disney,2022-04-22 04:00:00,120.01,121.89,118.15,118.27
disney,2022-04-25 04:00:00,117.66,120.33,116.75,119.95
disney,2022-04-26 04:00:00,119.15,119.15,115.64,115.77
disney,2022-04-27 04:00:00,115.43,116.9,113.39,115.21
disney,2022-04-28 04:00:00,115.22,116.0,112.69,115.29
disney,2022-04-29 04:00:00,115.2,115.9899,111.36,111.63
disney,2022-05-02 04:00:00,111.71,113.6601,111.01,113.5
disney,2022-05-03 04:00:00,114.05,114.83,112.69,113.55
disney,2022-05-04 04:00:00,113.37,116.44,111.83,116.19
disney,2022-05-05 04:00:00,114.74,115.27,111.48,112.61
disney,2022-05-06 04:00:00,111.77,112.09,108.3,110.29
disney,2022-05-09 04:00:00,108.11,110.74,106.48,106.98
disney,2022-05-10 04:00:00,109.835,110.7,106.1447,107.68
disney,2022-05-11 04:00:00,107.9,110.07,104.79,105.21
disney,2022-05-12 04:00:00,102.9,105.0,99.47,104.31
disney,2022-05-13 04:00:00,105.36,107.69,105.31,107.33
disney,2022-05-16 04:00:00,107.46,107.62,104.85,105.18
disney,2022-05-17 04:00:00,107.73,108.79,106.3,108.64
disney,2022-05-18 04:00:00,107.38,107.66,103.88,104.3
disney,2022-05-19 04:00:00,103.43,105.3,102.96,103.14
disney,2022-05-20 04:00:00,104.49,104.8,100.05,102.42
disney,2022-05-23 04:00:00,103.76,106.03,101.5611,105.83
disney,2022-05-24 04:00:00,103.71,103.84,100.13,101.59
disney,2022-05-25 04:00:00,101.43,103.807,101.16,103.26
disney,2022-05-26 04:00:00,104.22,106.13,103.96,105.61
disney,2022-05-27 04:00:00,106.89,109.37,106.53,109.32
disney,2022-05-31 04:00:00,110.0,111.235,107.91,110.44
disney,2022-06-01 04:00:00,112.01,112.85,108.27,109.19
disney,2022-06-02 04:00:00,109.43,110.95,107.91,110.87
disney,2022-06-03 04:00:00,109.17,109.85,107.9232,108.67
disney,2022-06-06 04:00:00,109.75,110.19,107.65,107.83
disney,2022-06-07 04:00:00,106.79,107.92,106.0,107.79
disney,2022-06-08 04:00:00,107.43,109.3605,106.96,107.34
disney,2022-06-09 04:00:00,106.53,107.06,103.25,103.3
disney,2022-06-10 04:00:00,101.43,102.12,99.38,99.4
disney,2022-06-13 04:00:00,97.61,97.61,94.83,95.71
disney,2022-06-14 04:00:00,96.27,96.27,93.1,94.22
disney,2022-06-15 04:00:00,94.61,97.3,94.09,95.88
disney,2022-06-16 04:00:00,94.01,95.38,93.41,94.28
disney,2022-06-17 04:00:00,94.01,95.97,93.47,94.34
disney,2022-06-21 04:00:00,94.9,95.45,93.265,93.29
disney,2022-06-22 04:00:00,92.17,94.61,92.01,93.5
disney,2022-06-23 04:00:00,93.96,94.65,92.07,94.3
disney,2022-06-24 04:00:00,95.45,98.5671,95.4,97.78
disney,2022-06-27 04:00:00,98.22,98.23,95.8001,96.61
disney,2022-06-28 04:00:00,99.74,100.4,95.78,95.92
disney,2022-06-29 04:00:00,95.95,96.201,94.53,95.65
