symbol,datetime,open,high,low,close
netflix,2022-01-03 05:00:00,605.61,609.99,590.56,597.37
netflix,2022-01-04 05:00:00,599.91,600.4099,581.6,591.15
netflix,2022-01-05 05:00:00,592.0,592.84,566.88,567.52
netflix,2022-01-06 05:00:00,554.34,563.36,542.01,553.29
netflix,2022-01-07 05:00:00,549.46,553.43,538.2175,541.06
netflix,2022-01-10 05:00:00,538.49,543.69,526.32,539.85
netflix,2022-01-11 05:00:00,536.99,543.91,530.07,540.84
netflix,2022-01-12 05:00:00,544.27,544.27,532.02,537.22
netflix,2022-01-13 05:00:00,537.06,540.79,518.26,519.2
netflix,2022-01-14 05:00:00,517.6,538.37,511.88,525.69
netflix,2022-01-18 05:00:00,520.08,521.75,508.68,510.8
netflix,2022-01-19 05:00:00,515.0,523.21,510.51,515.86
netflix,2022-01-20 05:00:00,517.7498,526.64,506.93,508.25
netflix,2022-01-21 05:00:00,400.425,409.1499,379.99,397.5
netflix,2022-01-24 05:00:00,383.91,387.26,351.46,387.15
netflix,2022-01-25 05:00:00,379.14,387.71,365.13,366.42
netflix,2022-01-26 05:00:00,378.27,382.66,356.62,359.7
netflix,2022-01-27 05:00:00,382.06,394.8,378.1,386.7
netflix,2022-01-28 05:00:00,386.76,387.0,372.08,384.36
netflix,2022-01-31 05:00:00,401.97,427.7,398.2,427.14
netflix,2022-02-01 05:00:00,432.96,458.48,425.5401,457.13
netflix,2022-02-02 05:00:00,448.25,451.98,426.48,429.48
netflix,2022-02-03 05:00:00,421.44,429.26,404.28,405.6
netflix,2022-02-04 05:00:00,407.31,412.77,396.6391,410.17
netflix,2022-02-07 05:00:00,410.17,412.35,393.55,402.1
netflix,2022-02-08 05:00:00,398.18,406.61,395.83,403.53
netflix,2022-02-09 05:00:00,408.65,412.98,398.79,412.89
netflix,2022-02-10 05:00:00,402.1,408.0,396.36,406.27
netflix,2022-02-11 05:00:00,405.33,411.6103,387.65,391.31
netflix,2022-02-14 05:00:00,387.59,409.36,386.891,396.57
netflix,2022-02-15 05:00:00,403.79,409.1619,401.01,407.46
netflix,2022-02-16 05:00:00,401.53,401.56,390.3842,398.08
netflix,2022-02-17 05:00:00,394.235,399.11,385.7,386.67
netflix,2022-02-18 05:00:00,392.53,402.87,389.0466,391.29
netflix,2022-02-22 05:00:00,388.95,392.42,373.02,377.38
netflix,2022-02-23 05:00:00,382.72,386.0,366.66,367.46
netflix,2022-02-24 05:00:00,355.09,390.73,354.72,390.03
netflix,2022-02-25 05:00:00,386.61,391.29,375.58,390.8
netflix,2022-02-28 05:00:00,387.33,397.75,382.13,394.52
netflix,2022-03-01 05:00:00,391.6,395.0,383.705,386.24
netflix,2022-03-02 05:00:00,388.93,389.22,375.21,380.03
netflix,2022-03-03 05:00:00,386.0,386.12,364.65,368.07
netflix,2022-03-04 05:00:00,368.0,374.8186,357.17,361.73
netflix,2022-03-07 05:00:00,360.41,361.995,350.2,350.26
netflix,2022-03-08 05:00:00,349.8,358.86,340.67,341.76
netflix,2022-03-09 05:00:00,357.685,364.14,350.5089,358.79
netflix,2022-03-10 05:00:00,356.2,367.02,353.3,356.77
netflix,2022-03-11 05:00:00,361.19,363.36,340.0,340.32
netflix,2022-03-14 04:00:00,338.72,341.32,329.82,331.01
netflix,2022-03-15 04:00:00,335.1,345.36,332.36,343.75
netflix,2022-03-16 04:00:00,348.2,359.99,343.06,357.53
netflix,2022-03-17 04:00:00,359.7,373.31,354.88,371.4
netflix,2022-03-18 04:00:00,372.0,381.8,368.47,380.6
netflix,2022-03-21 04:00:00,378.02,381.82,368.94,374.59
netflix,2022-03-22 04:00:00,371.14,386.66,366.76,382.92
netflix,2022-03-23 04:00:00,379.77,382.46,374.49,374.49
netflix,2022-03-24 04:00:00,379.76,379.76,368.9,375.71
netflix,2022-03-25 04:00:00,377.07,377.64,366.43,373.85
netflix,2022-03-28 04:00:00,375.23,380.28,366.73,378.51
netflix,2022-03-29 04:00:00,384.39,396.5,380.33,391.82
netflix,2022-03-30 04:00:00,389.55,392.7,378.625,381.47
netflix,2022-03-31 04:00:00,383.59,384.0,373.61,374.59
netflix,2022-04-01 04:00:00,376.8,380.87,368.5,373.47
netflix,2022-04-04 04:00:00,373.55,396.02,373.13,391.5
netflix,2022-04-05 04:00:00,389.3,390.0,377.305,380.15
netflix,2022-04-06 04:00:00,374.15,376.4699,362.73,368.35
netflix,2022-04-07 04:00:00,365.0,368.54,353.6897,362.15
netflix,2022-04-08 04:00:00,361.96,362.5,354.865,355.88
netflix,2022-04-11 04:00:00,350.0,354.78,345.2,348.0
netflix,2022-04-12 04:00:00,355.91,359.41,342.25,344.1
netflix,2022-04-13 04:00:00,343.92,352.0,341.155,350.43
netflix,2022-04-14 04:00:00,350.95,352.0,339.86,341.13
netflix,2022-04-18 04:00:00,340.0,342.36,331.615,337.86
netflix,2022-04-19 04:00:00,333.22,351.68,333.22,348.61
netflix,2022-04-20 04:00:00,245.2,248.7,212.51,226.19
netflix,2022-04-21 04:00:00,220.0,227.68,211.52,218.22
netflix,2022-04-22 04:00:00,220.18,226.27,210.05,215.52
netflix,2022-04-25 04:00:00,213.81,216.66,204.51,209.91
netflix,2022-04-26 04:00:00,208.8,209.15,198.2773,198.4
netflix,2022-04-27 04:00:00,194.005,200.19,187.77,188.54
netflix,2022-04-28 04:00:00,191.56,201.48,185.6,199.52
netflix,2022-04-29 04:00:00,198.68,204.71,190.0,190.36
netflix,2022-05-02 04:00:00,191.71,200.2141,190.01,199.46
netflix,2022-05-03 04:00:00,198.29,203.2,194.77,199.87
netflix,2022-05-04 04:00:00,197.65,204.38,191.01,204.01
netflix,2022-05-05 04:00:00,200.45,200.71,186.0,188.32
netflix,2022-05-06 04:00:00,186.75,187.21,175.81,180.97
netflix,2022-05-09 04:00:00,177.655,183.2,172.3,173.1
netflix,2022-05-10 04:00:00,176.01,181.8712,170.57,177.66
netflix,2022-05-11 04:00:00,176.09,180.92,165.55,166.37
netflix,2022-05-12 04:00:00,163.96,177.58,162.71,174.31
netflix,2022-05-13 04:00:00,177.16,187.77,176.01,187.64
netflix,2022-05-16 04:00:00,193.3,195.89,185.7,186.51
netflix,2022-05-17 04:00:00,189.17,191.4,185.17,190.56
netflix,2022-05-18 04:00:00,186.72,187.7,176.27,177.19
netflix,2022-05-19 04:00:00,178.045,186.3,175.71,183.48
netflix,2022-05-20 04:00:00,185.8665,190.19,179.77,186.35
netflix,2022-05-23 04:00:00,186.15,187.66,177.89,187.44
netflix,2022-05-24 04:00:00,182.0,184.0,177.17,180.34
netflix,2022-05-25 04:00:00,180.28,188.87,180.17,187.83
netflix,2022-05-26 04:00:00,186.49,192.3402,183.0916,191.4
netflix,2022-05-27 04:00:00,193.19,195.25,190.3722,195.19
