symbol,datetime,open,high,low,close
viacomcbs,2022-01-03 05:00:00,30.62,32.79,30.58,32.24
viacomcbs,2022-01-04 05:00:00,32.6342,33.4936,32.33,33.05
viacomcbs,2022-01-05 05:00:00,33.45,34.09,32.56,32.72
viacomcbs,2022-01-06 05:00:00,33.2,33.34,32.16,32.72
viacomcbs,2022-01-07 05:00:00,33.35,35.72,33.08,35.39
viacomcbs,2022-01-10 05:00:00,36.55,36.68,34.33,34.91
viacomcbs,2022-01-11 05:00:00,34.91,35.33,34.475,34.96
viacomcbs,2022-01-12 05:00:00,35.19,35.58,34.74,34.97
viacomcbs,2022-01-13 05:00:00,35.915,36.845,35.32,36.19
viacomcbs,2022-01-14 05:00:00,35.9,36.88,35.41,36.82
viacomcbs,2022-01-18 05:00:00,36.49,37.4,34.795,35.21
viacomcbs,2022-01-19 05:00:00,35.6,36.61,34.76,35.07
viacomcbs,2022-01-20 05:00:00,35.01,35.56,33.67,33.73
viacomcbs,2022-01-21 05:00:00,32.695,32.82,31.13,31.25
viacomcbs,2022-01-24 05:00:00,30.47,32.58,29.825,32.55
viacomcbs,2022-01-25 05:00:00,32.21,33.15,31.19,32.86
viacomcbs,2022-01-26 05:00:00,33.15,33.305,31.2,31.67
viacomcbs,2022-01-27 05:00:00,32.11,32.42,31.2385,31.41
viacomcbs,2022-01-28 05:00:00,31.415,33.06,31.011,32.97
viacomcbs,2022-01-31 05:00:00,32.692,33.85,32.19,33.45
viacomcbs,2022-02-01 05:00:00,33.1,34.24,32.78,33.7
viacomcbs,2022-02-02 05:00:00,33.53,33.5484,32.6701,32.77
viacomcbs,2022-02-03 05:00:00,32.5,34.075,32.35,33.1
viacomcbs,2022-02-04 05:00:00,33.13,33.79,32.67,33.41
viacomcbs,2022-02-07 05:00:00,33.535,34.38,33.5,34.0
viacomcbs,2022-02-08 05:00:00,34.02,34.8,33.65,34.53
viacomcbs,2022-02-09 05:00:00,34.8,35.8725,34.44,35.78
viacomcbs,2022-02-10 05:00:00,35.5099,36.69,35.28,35.88
viacomcbs,2022-02-11 05:00:00,35.81,36.8299,35.6,36.0
viacomcbs,2022-02-14 05:00:00,35.9,36.39,34.885,35.03
viacomcbs,2022-02-15 05:00:00,35.0,36.03,34.75,35.99
viacomcbs,2022-02-16 05:00:00,30.24,30.33,27.84,29.58
