symbol,datetime,open,high,low,close
warner,2022-01-03 05:00:00,31.49,32.45,31.08,31.81
warner,2022-01-04 05:00:00,31.73,31.73,30.6676,31.13
warner,2022-01-05 05:00:00,30.82,32.68,30.48,31.98
warner,2022-01-06 05:00:00,32.2,34.42,31.595,33.48
warner,2022-01-07 05:00:00,33.73,35.2,33.361,33.43
warner,2022-01-10 05:00:00,33.775,33.775,31.67,33.15
warner,2022-01-11 05:00:00,33.14,34.36,32.71,34.35
warner,2022-01-12 05:00:00,35.27,36.51,34.71,35.1
warner,2022-01-13 05:00:00,34.24,34.855,32.93,33.1
warner,2022-01-14 05:00:00,33.14,34.41,33.025,34.24
warner,2022-01-18 05:00:00,33.74,34.38,33.09,33.47
warner,2022-01-19 05:00:00,33.57,34.29,33.3,33.55
warner,2022-01-20 05:00:00,35.22,36.44,34.41,34.64
warner,2022-01-21 05:00:00,34.45,34.72,32.82,33.46
warner,2022-01-24 05:00:00,32.58,33.28,31.34,33.02
warner,2022-01-25 05:00:00,32.39,33.76,32.11,33.54
warner,2022-01-26 05:00:00,33.78,34.03,31.98,32.15
warner,2022-01-27 05:00:00,32.51,32.86,30.85,31.0
warner,2022-01-28 05:00:00,30.91,31.85,30.39,30.91
warner,2022-01-31 05:00:00,32.49,34.76,31.9,34.65
warner,2022-02-01 05:00:00,34.2,35.1598,33.88,34.71
warner,2022-02-02 05:00:00,34.64,34.64,33.04,33.29
warner,2022-02-03 05:00:00,32.73,33.03,31.88,32.02
warner,2022-02-04 05:00:00,32.26,32.91,31.85,32.79
warner,2022-02-07 05:00:00,32.32,32.9376,30.54,31.03
warner,2022-02-08 05:00:00,31.04,32.44,30.66,32.37
warner,2022-02-09 05:00:00,32.61,32.86,32.15,32.5
warner,2022-02-10 05:00:00,31.5,32.12,31.17,31.55
warner,2022-02-11 05:00:00,31.8,31.8,30.97,31.25
warner,2022-02-14 05:00:00,30.92,31.85,30.46,30.85
warner,2022-02-15 05:00:00,31.12,32.11,31.12,32.1
warner,2022-02-16 05:00:00,31.77,32.62,31.5901,32.36
warner,2022-02-17 05:00:00,31.7,32.46,31.445,31.79
warner,2022-02-18 05:00:00,31.22,31.3,29.6,30.15
warner,2022-02-22 05:00:00,29.97,30.43,29.001,29.19
warner,2022-02-23 05:00:00,29.58,29.84,28.435,28.49
warner,2022-02-24 05:00:00,27.14,28.12,26.85,28.07
warner,2022-02-25 05:00:00,28.17,29.01,27.71,28.29
warner,2022-02-28 05:00:00,27.82,28.22,27.06,27.43
warner,2022-03-01 05:00:00,27.57,28.45,26.64,26.88
warner,2022-03-02 05:00:00,27.07,27.7,26.47,27.42
warner,2022-03-03 05:00:00,29.58,30.09,27.02,27.28
warner,2022-03-04 05:00:00,26.86,27.4,25.5501,25.78
warner,2022-03-07 05:00:00,25.2,25.3914,23.655,23.67
warner,2022-03-08 05:00:00,24.15,25.44,23.81,25.11
warner,2022-03-09 05:00:00,24.98,26.49,24.98,26.19
warner,2022-03-10 05:00:00,25.02,25.05,24.23,24.46
warner,2022-03-11 05:00:00,24.4,25.07,21.41,21.41
warner,2022-03-14 04:00:00,19.4,21.23,18.62,20.06
warner,2022-03-15 04:00:00,19.41,21.91,19.41,21.15
warner,2022-03-16 04:00:00,24.98,25.975,23.63,25.52
warner,2022-03-17 04:00:00,24.08,24.61,23.06,24.17
warner,2022-03-18 04:00:00,24.32,27.83,24.32,26.91
warner,2022-03-21 04:00:00,26.17,27.2,25.69,26.03
warner,2022-03-22 04:00:00,26.985,27.8,26.3,27.16
warner,2022-03-23 04:00:00,26.58,28.4,24.42,27.0
warner,2022-03-24 04:00:00,25.58,27.1988,25.56,26.66
warner,2022-03-25 04:00:00,25.79,26.99,25.05,25.38
warner,2022-03-28 04:00:00,25.75,26.47,25.33,25.88
warner,2022-03-29 04:00:00,26.4,27.17,25.13,25.35
warner,2022-03-30 04:00:00,24.96,25.575,24.53,24.68
warner,2022-03-31 04:00:00,26.33,26.9,23.8926,24.51
warner,2022-04-01 04:00:00,26.18,26.6952,25.09,25.62
warner,2022-04-04 04:00:00,26.72,27.34,26.0301,26.85
warner,2022-04-05 04:00:00,26.71,27.51,26.17,26.49
warner,2022-04-06 04:00:00,26.0,26.405,25.445,26.0
warner,2022-04-07 04:00:00,25.8,26.2,24.5,24.86
warner,2022-04-08 04:00:00,25.07,25.41,24.54,24.9
warner,2022-04-11 04:00:00,24.35,25.38,23.79,24.0
warner,2022-04-12 04:00:00,24.5,24.69,23.46,23.63
warner,2022-04-13 04:00:00,23.69,23.81,23.18,23.43
warner,2022-04-14 04:00:00,23.4,23.4,22.57,22.8
warner,2022-04-18 04:00:00,22.4,22.95,22.02,22.51
warner,2022-04-19 04:00:00,22.2,22.79,22.02,22.6
warner,2022-04-20 04:00:00,22.63,22.7,21.6401,22.0
warner,2022-04-21 04:00:00,21.79,21.79,20.57,20.78
warner,2022-04-22 04:00:00,21.14,21.8,20.82,20.95
warner,2022-04-25 04:00:00,20.37,21.34,19.89,21.15
warner,2022-04-26 04:00:00,21.02,21.08,20.29,20.62
warner,2022-04-27 04:00:00,20.88,21.27,20.54,20.95
warner,2022-04-28 04:00:00,21.26,21.38,20.64,21.25
warner,2022-04-29 04:00:00,22.8,23.8,22.53,23.14
warner,2022-05-02 04:00:00,22.91,23.356,22.415,22.83
warner,2022-05-03 04:00:00,23.19,23.55,22.35,22.545
warner,2022-05-04 04:00:00,22.16,22.71,21.53,22.68
warner,2022-05-05 04:00:00,22.25,22.42,21.71,21.91
warner,2022-05-06 04:00:00,21.65,21.775,20.64,20.81
warner,2022-05-09 04:00:00,20.43,20.45,19.79,20.01
warner,2022-05-10 04:00:00,20.25,20.61,19.591,20.24
warner,2022-05-11 04:00:00,20.62,20.88,19.73,19.99
warner,2022-05-12 04:00:00,19.81,20.57,19.62,20.34
warner,2022-05-13 04:00:00,20.97,21.8,20.5,21.18
warner,2022-05-16 04:00:00,21.0,21.89,20.86,21.19
warner,2022-05-17 04:00:00,22.3,22.89,21.27,21.5
warner,2022-05-18 04:00:00,21.33,22.2,21.23,21.5
